text,label
"Срочно! Ваш аккаунт заблокирован. Перейдите по ссылке для разблокировки",1
"Вы выиграли 1000000 рублей! Переведите 500р для получения приза",1
"Ваша карта заблокирована. Подтвердите данные по ссылке",1
"Внимание! Обнаружена подозрительная активность. Введите код из СМС",1
"Технической поддержка. Назовите номер карты и CVV код для проверки",1
"Привет! Как дела? Созвонимся завтра?",0
"Встреча перенесена на 15:00. Жду тебя в офисе",0
"Спасибо за заказ! Трек-номер: 123456789",0
"Напоминание: завтра в 10:00 у вас встреча с врачом",0
"Ваш баланс: 5000 рублей. Для пополнения используйте приложение",0
